ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
0,0,0,0,0,0,0,0,0,7,15,0,0,0,0,0,68,76,0,0,144,145,96,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,77,0,0,145,144,92,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,16,0,0,0,0,0,68,77,0,1,145,144,94,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,18,0,0,0,0,0,68,76,0,0,144,144,93,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8,17,0,0,0,0,0,68,78,0,0,148,148,104,0,0,0,0,0,0,0,0,0,0,0
73120,506111,0,845,0,0,1040,0,0,13,25,0,0,0,0,0,68,82,0,0,147,147,101,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,13,26,0,0,0,0,0,68,80,0,0,148,149,104,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,68,80,0,0,147,146,104,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,68,80,0,0,148,148,106,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,14,28,0,0,0,0,0,68,81,0,0,149,149,104,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,68,80,0,0,147,147,102,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,68,78,0,0,145,145,98,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,68,79,0,0,147,147,100,0,0,0,0,0,0,0,0,0,0,0
54160,461152,0,633,0,0,818,0,0,10,19,0,0,0,0,0,68,78,0,0,146,146,98,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,68,79,0,0,146,147,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,68,78,0,0,147,146,99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,68,78,0,0,145,145,97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,20,0,0,0,0,0,68,79,0,0,147,147,99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,68,78,0,0,145,145,98,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,68,81,0,0,149,149,107,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,23,0,0,0,0,0,68,79,0,0,146,147,99,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,11,22,0,0,0,0,0,68,78,0,0,146,145,96,0,0,0,0,0,0,0,0,0,0,0
60596,477721,0,707,0,0,895,0,0,10,20,0,0,0,0,0,68,78,0,0,146,146,100,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,19,0,0,0,0,0,68,78,0,0,146,146,97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,21,0,0,0,0,0,68,79,0,0,146,146,101,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,68,78,0,0,146,146,97,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,10,22,0,0,0,0,0,68,78,0,0,145,145,98,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,9,19,0,0,0,0,0,68,80,0,0,148,148,105,0,0,0,0,0,0,0,0,0,0,0
