ifInOctets11,ifOutOctets11,ifOutDiscards11,ifInUcastPkts11,ifInNUcastPkts11,ifInDiscards11,ifOutUcastPkts11,ifOutNUcastPkts11,tcpOutRsts,tcpInSegs,tcpOutSegs,tcpPassiveOpens,tcpRetransSegs,tcpCurrEstab,tcpEstabResets,tcpActiveOpens,udpInDatagrams,udpOutDatagrams,udpInErrors,udpNoPorts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,icmpInMsgs,icmpInDestUnreachs,icmpOutMsgs,icmpOutDestUnreachs,icmpInEchos,icmpOutEchoReps
2600582,2146376,0,40600,0,0,39695,0,43766,45256,44188,0,0,0,0,0,92,78,0,0,87777,82990,39443,0,0,0,0,6,0,0,0,0,0,0
2532882,2066924,0,39544,0,0,38227,0,36818,37609,36891,0,0,0,0,0,74,78,0,0,67869,68126,34613,0,0,0,0,0,0,0,0,0,0,0
2096042,1735732,0,32727,0,0,32101,0,30908,32720,31661,0,0,0,0,0,71,73,0,0,64114,63833,31753,0,0,0,0,0,0,0,0,0,0,0
2199402,1798986,0,34339,0,0,33269,0,30372,29822,28581,0,0,0,0,0,68,68,0,0,48696,48463,23696,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,25612,26805,26326,0,0,0,0,0,68,68,0,0,52874,53450,27679,0,0,0,0,0,0,0,0,0,0,0
1840162,1534244,0,28721,0,0,28361,0,24469,25052,25215,0,0,0,0,0,69,68,0,1,51145,50476,24666,0,1,0,0,0,0,0,0,0,0,0
3045882,2506700,0,47527,0,0,46345,0,28391,28992,27743,0,0,0,0,0,71,68,0,2,54811,54005,28959,0,2,0,0,0,0,0,0,0,0,0
2355486,1905712,0,36769,0,0,35249,0,32071,33349,32496,0,0,0,0,0,68,68,0,1,67176,68090,33927,0,1,0,0,0,0,0,0,0,0,0
1937386,1566550,0,30245,0,0,28968,0,31522,33064,31671,0,0,0,0,0,68,68,0,1,63697,62622,31616,0,1,0,0,0,0,0,0,0,0,0
2058564,1673384,0,32134,0,0,30939,0,27896,29240,27204,0,0,0,0,0,68,68,0,0,56116,57407,29484,0,0,0,0,0,0,0,0,0,0,0
2567414,2004257,0,40087,0,0,37072,0,40385,43356,42317,0,0,0,0,0,90,68,0,0,95982,96552,49060,0,0,0,0,15,0,0,0,0,0,0
2915392,2311853,0,45504,0,0,42768,0,40957,43077,38629,0,0,0,0,0,70,68,0,2,58986,58478,29623,0,2,0,0,0,0,0,0,0,0,0
1885764,1551634,0,29434,0,0,28692,0,28834,29679,29892,0,0,0,0,0,68,68,0,1,58530,59200,30171,0,1,0,0,0,0,0,0,0,0,0
3204804,2556851,0,50044,0,0,47306,0,47077,49304,45973,0,0,0,0,0,69,69,0,1,90326,91263,47704,0,1,0,0,0,0,0,0,0,0,0
2270594,1860053,0,35449,0,0,34400,0,40684,43048,41466,0,0,0,0,0,68,68,0,2,83712,80877,40443,0,2,0,0,0,0,0,0,0,0,0
2128119,1706944,0,33219,0,0,31575,0,35476,37414,35244,0,0,0,0,0,72,68,0,1,66551,69027,36061,0,2,0,0,0,0,0,0,0,0,0
2780852,2221328,0,43407,0,0,41089,0,36341,37389,36074,0,0,0,0,0,68,68,0,1,71338,68911,35113,0,0,0,0,0,0,0,0,0,0,0
2394437,1933932,0,37371,0,0,35769,0,29181,30721,30065,0,0,0,0,0,80,68,0,1,62873,63049,30313,0,1,0,0,12,0,0,0,0,0,0
1843090,1507732,0,28766,0,0,27879,0,27460,28485,26615,0,0,0,0,0,74,68,0,1,52094,52571,27093,0,1,0,0,0,0,0,0,0,0,0
0,1480221,0,27833,0,0,27368,0,25219,25161,24777,0,0,0,0,0,68,68,0,0,45943,46305,23504,0,0,0,0,0,0,0,0,0,0,0
3526627,1435821,0,27208,0,0,26548,0,32459,33833,33972,0,0,0,0,0,68,68,0,2,69686,69563,34511,0,2,0,0,0,0,0,0,0,0,0
2418473,2000514,0,37760,0,0,37005,0,35922,37394,36202,0,0,0,0,0,70,68,0,1,76924,76342,38671,0,1,0,0,3,0,0,0,0,0,0
2446812,2025916,0,38198,0,0,37475,0,36263,36017,34846,0,0,0,0,0,68,68,0,0,65997,65971,33393,0,0,0,0,0,0,0,0,0,0,0
1933482,1607968,0,30185,0,0,29735,0,28947,29196,29310,0,0,0,0,0,70,68,0,1,55373,56311,28136,0,1,0,0,3,0,0,0,0,0,0
1827548,1509244,0,28523,0,0,27907,0,26380,27349,26516,0,0,0,0,0,68,68,0,1,51716,52041,25951,0,1,0,0,0,0,0,0,0,0,0
0,0,0,27418,0,0,27178,0,27114,26946,26964,0,0,0,0,0,68,68,0,0,53006,52404,26778,0,0,0,0,0,0,0,0,0,0,0
1756848,1470032,0,28119,0,0,27707,0,27026,27333,26851,0,0,0,0,0,75,73,0,1,53525,54535,27694,0,1,0,0,0,0,0,0,0,0,0
1801465,1498562,0,0,0,0,28123,0,25944,26765,25825,0,0,0,0,0,68,68,0,0,55460,55653,27777,0,0,0,0,0,0,0,0,0,0,0
1834955,1521132,0,28631,0,0,28048,0,29585,29668,29334,0,0,0,0,0,68,68,0,1,58226,57189,29133,0,1,0,0,0,0,0,0,0,0,0
1829098,1516858,0,57028,0,0,27869,0,27630,28532,27796,0,0,0,0,0,68,68,0,0,52843,51788,25410,0,0,0,0,0,0,0,0,0,0,0
1824270,1507134,0,0,0,0,27224,0,24973,25948,25381,0,0,0,0,0,68,68,0,1,52008,51821,25688,0,1,0,0,0,0,0,0,0,0,0
1783307,1472580,0,27831,0,0,0,0,24215,24467,24090,0,0,0,0,0,68,68,0,0,48226,49158,24830,0,0,0,0,0,0,0,0,0,0,0
2622265,2183065,0,40930,0,0,40359,0,23797,23774,23669,0,0,0,0,0,68,68,0,1,43508,43039,21782,0,1,0,0,0,0,0,0,0,0,0
1946484,1587829,0,30378,0,0,29354,0,24646,25109,23659,0,0,0,0,0,68,68,0,1,44710,44533,21854,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,16764,17577,18116,0,0,0,0,0,68,68,0,0,40958,41306,21189,0,1,0,0,0,0,0,0,0,0,0
2721864,2277092,0,42466,0,0,42084,0,28557,28637,27538,0,0,0,0,0,68,68,0,1,49934,49719,24657,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,27653,0,22044,22328,22578,0,0,0,0,0,68,68,0,1,47927,47721,24379,0,1,0,0,0,0,0,0,0,0,0
1798594,1495820,0,28073,0,0,0,0,22958,23341,22401,0,0,0,0,0,68,68,0,0,47289,47682,23889,0,0,0,0,0,0,0,0,0,0,0
2793136,2310214,0,43584,0,0,42703,0,22964,23849,23760,0,0,0,0,0,68,68,0,1,45337,45649,24553,0,1,0,0,0,0,0,0,0,0,0
0,0,0,29442,0,0,28971,0,26564,26398,25606,0,0,0,0,0,72,68,0,1,47301,46769,22169,0,1,0,0,0,0,0,0,0,0,0
1886402,1566922,0,0,0,0,0,0,22469,22892,22747,0,0,0,0,0,68,68,0,1,48804,48835,24364,0,1,0,0,0,0,0,0,0,0,0
1841713,1538708,0,28734,0,0,28441,0,22353,22563,22540,0,0,0,0,0,68,68,0,0,42609,42753,21237,0,0,0,0,0,0,0,0,0,0,0
2426901,2020360,0,37872,0,0,37345,0,25856,26163,25414,0,0,0,0,0,68,68,0,1,49929,50373,25876,0,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,28611,0,21675,22184,21787,0,0,0,0,0,68,68,0,0,46226,46056,22454,0,0,0,0,0,0,0,0,0,0,0
1862088,1547664,0,29060,0,0,0,0,20297,20737,20394,0,0,0,0,0,68,68,0,0,49287,49477,25736,0,0,0,0,6,0,0,0,0,0,0
3157870,2622004,0,49284,0,0,48479,0,35535,36263,36318,0,0,0,0,0,86,68,0,0,70974,71003,35698,0,0,0,0,9,0,0,0,0,0,0
2062964,1688696,0,32201,0,0,31230,0,24764,24931,23679,0,0,0,0,0,68,68,0,0,38498,37497,18819,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,20949,21755,22187,0,0,0,0,0,68,68,0,2,45598,47860,25348,0,3,0,0,0,0,0,0,0,0,0
3485218,2862482,0,54390,0,0,52925,0,41257,43736,40874,0,0,0,0,0,68,68,0,2,83648,83506,41766,0,1,0,0,0,0,0,0,0,0,0
2935428,2353590,0,45835,0,0,43539,0,35298,36041,34255,0,0,0,0,0,68,68,0,0,56224,53722,26528,0,0,0,0,0,0,0,0,0,0,0
